Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,4409745626.34,143615.22,2563277936.14,1133146596.51,AAVE,Lending
2021-01-28,4601333436.79,129022.38,2526400978.73,1175549928.56,AAVE,Lending
2021-01-29,4774111941.08,138789.04,3887302625.7,936133538.75,AAVE,Lending
2021-01-30,4596433963.97,137432.48,3910927114.94,942434950.72,AAVE,Lending
2021-01-31,5003906877.95,129173.49,4041155706.05,833174091.22,AAVE,Lending
2021-02-01,4790157057.95,147973.61,3899109534.55,616188545.69,AAVE,Lending
2021-02-02,4719610811.28,125622.28,3865562992.32,640809111.56,AAVE,Lending
2021-02-03,4836697259.97,207182.56,3965246571.97,667054886.3,AAVE,Lending
2021-02-04,6121338674.03,237499.05,4687576144.91,1104107031.44,AAVE,Lending
2021-02-05,7475160251.07,220583.04,5301844649.89,2948085090.32,AAVE,Lending
2021-02-06,8032123511.74,226961.01,5638858483.51,1721394810.46,AAVE,Lending
2021-02-07,7518044622.21,177412.62,5307228721.73,1663865786.29,AAVE,Lending
2021-02-08,7616197723.08,142558.94,5358744419.39,1382055638.51,AAVE,Lending
2021-02-09,7855339938.01,235618.6,5549581739.73,1623318789.54,AAVE,Lending
2021-02-10,7849534677.9,330536.47,5739047460.09,1084517654.63,AAVE,Lending
2021-02-11,8396901400.49,334606.93,5906954618.02,1825658896.03,AAVE,Lending
2021-02-12,8272090797.99,349359.24,5903882021.2,960453574.49,AAVE,Lending
2021-02-13,8468164152.39,337613.96,6121836389.7,938909945.32,AAVE,Lending
2021-02-14,7900380515.82,279749.71,5999047386.44,896812584.06,AAVE,Lending
2021-02-15,7556811335.62,298184.26,5739873701.46,758456418.67,AAVE,Lending
2021-02-16,7261522049.88,340700.39,5658526040.28,1210515546.67,AAVE,Lending
2021-02-17,6923339193.88,348477.58,5508130492.78,916262882.41,AAVE,Lending
2021-02-18,7196757932.68,359590.44,5665316993.24,1108363605.65,AAVE,Lending
2021-02-19,7085520544.38,403292.85,5754754893.73,824298072.98,AAVE,Lending
2021-02-20,6793960211.38,304633.83,5719820906.41,1000716596.78,AAVE,Lending
2021-02-21,7120814767.99,337201.46,5772792428.26,2023133925.46,AAVE,Lending
2021-02-22,7009554531.2,354302.43,5807388414.48,972679847.31,AAVE,Lending
2021-02-23,6454629357.66,286393.08,5461283687.38,1378172676.21,AAVE,Lending
2021-02-24,5822895110.52,217340.58,4865880666.25,1704124213.42,AAVE,Lending
2021-02-25,5886274330.62,262394.68,4907614017.21,1202706208.55,AAVE,Lending
2021-02-26,5391151593.86,284114.43,4650831619.9,819750980.73,AAVE,Lending
2021-02-27,5198860317.19,229743.8,4448265157.6,952295073.32,AAVE,Lending
2021-02-28,5407576703.81,236447.64,4543701137.6,752280758.03,AAVE,Lending
2021-03-01,5619147106.96,204787.09,4683628661.16,1116377856.86,AAVE,Lending
2021-03-02,6184126755.69,233777.48,4986023712.78,1331348827.38,AAVE,Lending
2021-03-03,6281311890.77,219826.13,5048043616.31,1343278058.57,AAVE,Lending
2021-03-04,6365733493.91,256688.06,5304255502.01,848542075.98,AAVE,Lending
2021-03-05,6025763275.83,255353.13,5053175128.79,883962715.02,AAVE,Lending
2021-03-06,5914355275.21,245192.59,5029520719.14,781089240.28,AAVE,Lending
2021-03-07,6240071884.39,224870.53,5149827085.62,635609527.49,AAVE,Lending
2021-03-08,6613304744.14,609029.02,5352553112.3,1124086854.08,AAVE,Lending
2021-03-09,6965913388.79,525023.88,5568348122.46,1117320608.82,AAVE,Lending
2021-03-10,7140397790.47,455243.92,5614272396.73,872076956.18,AAVE,Lending
2021-03-11,6531908145.61,478676.44,5358210297.1,963879418.76,AAVE,Lending
2021-03-12,6531908145.61,459708.82,5490661790.18,963879418.76,AAVE,Lending
2021-03-13,6479363139.19,325896.37,5278570829.79,795421047.08,AAVE,Lending
2021-03-14,5981258702.25,299096.61,5737073499.03,834401926.32,AAVE,Lending
2021-03-15,6179098990.79,319056.87,5166211249.03,688907759.97,AAVE,Lending
2021-03-16,5876373081.59,311549.88,5335145289.17,789252691.9,AAVE,Lending
2021-03-17,5876373081.59,321013.88,5337880468.86,789252691.9,AAVE,Lending
2021-03-18,5950144513.21,375908.59,5491780193.01,584760061.79,AAVE,Lending
