Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,2170682083.76,137337.99,927891928.06,86823836.66,Balancer,DEX
2021-01-28,1941029865.68,137970.51,884766974.2,90068804.42,Balancer,DEX
2021-01-29,2298770697.43,114560.78,917070555.56,98148373.42,Balancer,DEX
2021-01-30,2590569508.57,249513.76,966377020.83,141348904.8,Balancer,DEX
2021-01-31,2833497851.38,120903.56,971709125.32,133085628.56,Balancer,DEX
2021-02-01,2647914670.54,120535.29,920467549.68,106405919.58,Balancer,DEX
2021-02-02,3017051637.89,127369.35,965460976.02,144938814.44,Balancer,DEX
2021-02-03,3260145708.97,234878.31,1070197006.6,236538273.25,Balancer,DEX
2021-02-04,3544523374.72,170931.55,1133622911.29,134774521.04,Balancer,DEX
2021-02-05,3371651996.91,311973.88,1164998488.4,149104660.98,Balancer,DEX
2021-02-06,3945197960.02,267464.71,1227427290.23,176771276.82,Balancer,DEX
2021-02-07,3596052203.09,212340.57,1260068456.73,139233067.99,Balancer,DEX
2021-02-08,3606111106.58,163825.07,1205598381.06,194431905.96,Balancer,DEX
2021-02-09,3731590025.39,273554.42,1290034713.29,152273968.9,Balancer,DEX
2021-02-10,3888460077.69,322767.3,1354100552.97,166345924.91,Balancer,DEX
2021-02-11,4251457279.97,454139.0,1368817036.91,259559121.92,Balancer,DEX
2021-02-12,4731505458.86,356905.09,1439245981.77,332455971.64,Balancer,DEX
2021-02-13,5216691886.95,200508.52,1574345583.88,211892135.53,Balancer,DEX
2021-02-14,4847493964.54,205261.43,1548588344.63,179202902.13,Balancer,DEX
2021-02-15,4453832627.85,156124.02,1545118462.87,124506063.79,Balancer,DEX
2021-02-16,4351779144.37,247841.41,1597249639.65,161491644.55,Balancer,DEX
2021-02-17,4298391302.06,165598.34,1578841574.72,117780456.65,Balancer,DEX
2021-02-18,4464444104.75,241929.45,1625027858.92,187571180.74,Balancer,DEX
2021-02-19,4676654692.99,222736.44,1675549527.74,131687021.07,Balancer,DEX
2021-02-20,4422888181.3,217666.32,1660473978.38,134278772.49,Balancer,DEX
2021-02-21,4670061828.57,330157.73,1696919230.63,205483553.98,Balancer,DEX
2021-02-22,4580709696.87,155923.02,1708110188.69,135043837.65,Balancer,DEX
2021-02-23,4132686733.65,264059.69,1618763785.48,155494571.38,Balancer,DEX
2021-02-24,3482690758.27,445609.93,1436353352.48,183575455.55,Balancer,DEX
2021-02-25,3853814707.08,376242.3,1592333011.41,120983958.88,Balancer,DEX
2021-02-26,3446965956.56,401551.35,1584139359.94,97617827.11,Balancer,DEX
2021-02-27,3550563987.48,297258.3,1507162240.37,138623233.91,Balancer,DEX
2021-02-28,3727530643.22,306076.11,1506936540.58,144962439.71,Balancer,DEX
2021-03-01,3429809986.76,171315.37,1450506094.95,111548525.06,Balancer,DEX
2021-03-02,3816713133.69,150614.52,1561077942.38,105819859.12,Balancer,DEX
2021-03-03,3675771531.43,155043.71,1584242463.29,108570919.09,Balancer,DEX
2021-03-04,3866750077.14,175139.86,1691977176.55,124525028.42,Balancer,DEX
2021-03-05,3763140287.27,163077.29,1633316104.96,99104245.74,Balancer,DEX
2021-03-06,3679648160.76,155304.57,1633438284.22,97363009.77,Balancer,DEX
2021-03-07,4289339617.39,144537.72,1701177647.86,133562741.33,Balancer,DEX
2021-03-08,4417855784.37,156731.11,1755211838.77,128811718.94,Balancer,DEX
2021-03-09,5010432138.97,176743.48,1871800967.5,215521467.2,Balancer,DEX
2021-03-10,4897525155.67,144996.35,1918377194.61,162587252.15,Balancer,DEX
2021-03-11,4605423023.34,196684.45,1896805794.98,121731176.75,Balancer,DEX
2021-03-12,4712302658.44,207070.13,1924044005.7,103800325.49,Balancer,DEX
2021-03-13,4477390893.84,347050.18,1956479440.11,99060727.51,Balancer,DEX
2021-03-14,4819646178.35,203090.69,2104496147.37,108009514.33,Balancer,DEX
2021-03-15,5354232160.25,221286.1,2124839193.65,252063428.56,Balancer,DEX
2021-03-16,5558316976.46,243851.79,2054467950.96,504060048.4,Balancer,DEX
2021-03-17,5517159815.45,174264.03,2081881484.71,251468602.51,Balancer,DEX
2021-03-18,5460055276.19,227244.46,2127022805.13,193980007.32,Balancer,DEX
2021-03-19,6252353527.6,183922.84,2157492433.67,333887231.15,Balancer,DEX
2021-03-20,6051627187.53,186539.21,2210794118.42,265104496.07,Balancer,DEX
2021-03-21,5981370116.04,158589.29,2216613725.77,172064001.76,Balancer,DEX
2021-03-22,5841509145.9,146120.15,2111411748.96,126931566.02,Balancer,DEX
2021-03-23,5322396568.05,227526.58,2051087654.93,145885827.78,Balancer,DEX
2021-03-24,5099270448.9,330109.03,2006346843.78,174759764.16,Balancer,DEX
2021-03-25,4749837832.73,251631.26,1967966665.21,103767503.28,Balancer,DEX
2021-03-26,4728558132.69,234791.28,2014209053.71,78470321.2,Balancer,DEX
2021-03-27,5259612199.1,242632.09,2104233088.2,65378939.48,Balancer,DEX
2021-03-28,5209204194.29,223338.94,2138365907.41,50304351.52,Balancer,DEX
2021-03-29,5087410470.9,348207.52,2127950459.0,53348331.85,Balancer,DEX
2021-03-30,5538758569.11,147579.75,2310534116.39,66071268.5,Balancer,DEX
2021-03-31,5673112042.49,152238.58,2400306872.06,95254482.02,Balancer,DEX
2021-04-01,5721036744.91,177385.47,2405083085.05,73145198.16,Balancer,DEX
