Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,2368182607.35,459262.72,3175997685.78,119061746.0,Compound,Lending
2021-01-28,2206399350.09,455944.46,3101711663.81,89917723.7,Compound,Lending
2021-01-29,2535395295.56,521038.95,3084150385.37,111978907.66,Compound,Lending
2021-01-30,2912604431.23,603926.19,3306083475.17,182617052.17,Compound,Lending
2021-01-31,3370187491.0,690367.21,3234914476.94,274793529.73,Compound,Lending
2021-02-01,3477574844.31,704208.96,3272534854.88,177682761.59,Compound,Lending
2021-02-02,3623828984.76,690325.18,3299106639.52,219950614.82,Compound,Lending
2021-02-03,3563199762.32,750581.35,3494900582.52,122654013.86,Compound,Lending
2021-02-04,3884096796.68,837191.41,3645800353.23,122864941.9,Compound,Lending
2021-02-05,4550618842.57,998168.13,3827694573.92,410057996.06,Compound,Lending
2021-02-06,5352873989.42,1034331.64,3934239262.96,327418243.2,Compound,Lending
2021-02-07,4632120539.45,1050431.09,4061473172.61,270769373.05,Compound,Lending
2021-02-08,4572410720.31,1100271.24,3982392527.95,208150304.11,Compound,Lending
2021-02-09,4563035749.13,1103514.8,4039533564.27,209813675.12,Compound,Lending
2021-02-10,4877029718.73,1328311.02,4300268403.86,251303032.28,Compound,Lending
2021-02-11,4755218069.5,1412305.21,4478189365.22,279183071.4,Compound,Lending
2021-02-12,5012551820.61,1381389.44,4480313045.78,238543939.22,Compound,Lending
2021-02-13,5350076462.82,1395929.89,4540572796.14,323384378.39,Compound,Lending
2021-02-14,5106315779.25,1407565.31,4587598080.44,185464715.84,Compound,Lending
2021-02-15,4716372467.84,1415263.44,4730054589.17,169703956.39,Compound,Lending
2021-02-16,4590159454.49,1438430.47,4609328984.17,213194206.49,Compound,Lending
2021-02-17,4558017109.0,1340583.37,4837304018.43,162553784.39,Compound,Lending
2021-02-18,4741944019.28,1541025.18,4910986471.0,168642792.37,Compound,Lending
2021-02-19,4576769997.47,1534315.53,5210632620.74,110967606.46,Compound,Lending
2021-02-20,4524578698.41,1487008.04,5236947228.5,143425312.1,Compound,Lending
2021-02-21,4560190500.64,1445759.37,5529499348.67,251010066.06,Compound,Lending
2021-02-22,4552155702.09,1419511.33,5563854674.6,113860688.55,Compound,Lending
2021-02-23,4259134994.65,1355086.98,5276451367.6,256407629.85,Compound,Lending
2021-02-24,3797913400.59,1046224.93,4541976892.57,261540497.12,Compound,Lending
2021-02-25,4376292570.86,954445.33,4966925921.82,200515926.63,Compound,Lending
2021-02-26,3973466056.39,1034911.77,4865356033.6,130541454.94,Compound,Lending
2021-02-27,3989024467.04,968883.45,4542741732.93,213838191.69,Compound,Lending
