Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,1478285433.34,110861.5,4579045900.29,163668243.65,MakerDAO,Lending
2021-01-28,1340210967.74,113240.68,4578621874.77,146551109.62,MakerDAO,Lending
2021-01-29,1411245974.02,114484.47,4639342337.67,148312520.6,MakerDAO,Lending
2021-01-30,1409140568.3,116301.33,4986226755.8,176595109.56,MakerDAO,Lending
2021-01-31,1585657145.12,117401.04,4809742960.09,253021717.9,MakerDAO,Lending
2021-02-01,1486991759.51,117957.67,4825312125.01,176347776.56,MakerDAO,Lending
2021-02-02,1483959401.08,119353.79,4763260282.77,148655198.81,MakerDAO,Lending
2021-02-03,1705748527.51,123155.93,5190972591.19,298587615.17,MakerDAO,Lending
2021-02-04,1769381157.3,126542.87,5552602388.34,195431571.58,MakerDAO,Lending
2021-02-05,2087458110.16,129416.48,5822178236.32,392290178.03,MakerDAO,Lending
2021-02-06,2738410277.37,134315.06,5965970607.97,889473952.85,MakerDAO,Lending
2021-02-07,2566497619.44,135808.38,6118559596.95,499239133.82,MakerDAO,Lending
2021-02-08,2468508080.35,132638.91,5866371808.68,319528150.74,MakerDAO,Lending
2021-02-09,2468508080.35,138455.17,5908081283.97,319528150.74,MakerDAO,Lending
2021-02-10,2581162539.15,144665.09,6364824931.31,241430768.4,MakerDAO,Lending
2021-02-11,2528330621.38,146097.57,6512243998.28,283849804.67,MakerDAO,Lending
2021-02-12,2542396425.87,152037.99,6521817928.61,217384279.24,MakerDAO,Lending
2021-02-13,2755226858.71,154389.35,6566154438.94,305887254.09,MakerDAO,Lending
2021-02-14,2615703080.81,155532.58,6570934803.93,209649508.08,MakerDAO,Lending
2021-02-15,2536905796.11,155827.34,6671890061.43,164534763.28,MakerDAO,Lending
2021-02-16,2480991383.36,198562.28,6513066519.01,196313426.99,MakerDAO,Lending
2021-02-17,2499470318.28,208649.25,6469294970.77,143713605.92,MakerDAO,Lending
2021-02-18,2617841967.46,214239.77,6594015890.14,144684897.66,MakerDAO,Lending
2021-02-19,2643856074.72,219383.3,6992293918.68,156323137.59,MakerDAO,Lending
2021-02-20,2590434597.47,222136.44,7056254045.28,141503606.91,MakerDAO,Lending
2021-02-21,2637944319.91,228799.23,7408522131.59,320402433.81,MakerDAO,Lending
2021-02-22,2638696253.73,231545.25,7310637873.05,170344331.41,MakerDAO,Lending
2021-02-23,2409895225.72,229415.55,6847150138.03,201717981.31,MakerDAO,Lending
2021-02-24,2235265429.72,213665.17,5692144057.73,297225901.35,MakerDAO,Lending
2021-02-25,2248302263.97,216076.67,6478647520.28,152885609.45,MakerDAO,Lending
2021-02-26,2041656359.25,217003.57,6262900420.3,123315231.39,MakerDAO,Lending
2021-02-27,1971666600.85,213542.37,5760557595.68,122610053.05,MakerDAO,Lending
2021-02-28,2009566247.08,213182.68,5791598709.15,100509182.25,MakerDAO,Lending
2021-03-01,2032215228.56,210482.14,5457519554.49,129487158.88,MakerDAO,Lending
2021-03-02,2190839634.35,214236.09,6091482493.35,131004254.54,MakerDAO,Lending
2021-03-03,2186384025.76,218261.7,6245212590.49,107005293.89,MakerDAO,Lending
2021-03-04,2218325332.03,259498.41,6410245687.54,103656149.72,MakerDAO,Lending
2021-03-05,2217020784.06,260861.36,6274587169.0,127555580.7,MakerDAO,Lending
2021-03-06,2084176626.78,256781.92,5872462472.22,96961550.71,MakerDAO,Lending
2021-03-07,2259634016.59,257754.33,6149530446.27,137094099.4,MakerDAO,Lending
2021-03-08,2263267807.4,259905.27,6330223120.81,89596176.54,MakerDAO,Lending
2021-03-09,2211220214.74,261572.32,6400132361.51,134228807.54,MakerDAO,Lending
2021-03-10,2279590864.12,265930.13,6862488006.65,127310141.99,MakerDAO,Lending
2021-03-11,2274094730.37,267850.23,6963386528.11,140913852.91,MakerDAO,Lending
2021-03-12,2243383816.19,273471.74,6906473322.42,119714836.07,MakerDAO,Lending
2021-03-13,2145670263.19,275639.98,7013487754.76,118195535.9,MakerDAO,Lending
2021-03-14,2193011270.16,278374.05,7206530046.54,104185072.76,MakerDAO,Lending
2021-03-15,2071560207.2,278975.78,7318478784.62,102431643.81,MakerDAO,Lending
2021-03-16,2008315211.15,279779.94,6994049785.59,121106938.69,MakerDAO,Lending
2021-03-17,2087647953.43,276391.03,7021930300.28,111961414.5,MakerDAO,Lending
2021-03-18,2140216965.19,280997.87,6979655775.5,90210641.84,MakerDAO,Lending
2021-03-19,2129443845.77,282227.93,7232917885.58,100433834.89,MakerDAO,Lending
2021-03-20,2117211959.98,282245.14,7179564963.92,90499433.94,MakerDAO,Lending
2021-03-21,2161495823.81,280208.97,7227982356.54,128218521.51,MakerDAO,Lending
2021-03-22,2116224188.94,280490.01,6919190545.12,92743439.61,MakerDAO,Lending
2021-03-23,1984534820.47,278898.18,7054714872.74,99282415.68,MakerDAO,Lending
2021-03-24,2032080295.54,275723.81,6451096456.25,109378497.78,MakerDAO,Lending
2021-03-25,1828413147.86,273582.11,6548192548.79,101117385.63,MakerDAO,Lending
2021-03-26,1892568461.91,276063.2,6236971451.31,130163417.25,MakerDAO,Lending
2021-03-27,1998380613.69,277671.74,6313660554.65,90118933.27,MakerDAO,Lending
2021-03-28,2164082897.35,277716.84,6503830032.21,197918113.94,MakerDAO,Lending
2021-03-29,2078461997.2,280403.76,6674384764.2,103644034.41,MakerDAO,Lending
2021-03-30,2115005925.44,284416.2,6892775089.63,81261413.0,MakerDAO,Lending
2021-03-31,2101239429.81,287103.15,7280601161.37,75704083.48,MakerDAO,Lending
2021-04-01,2129072355.93,289016.36,7098023158.55,84197282.8,MakerDAO,Lending
2021-04-02,2326302459.09,296310.19,7616964370.59,177324664.07,MakerDAO,Lending
2021-04-03,2510887531.02,307919.48,7842486122.74,214265733.73,MakerDAO,Lending
2021-04-04,2255391777.6,310755.86,8103743586.27,156395230.82,MakerDAO,Lending
2021-04-05,2319955899.55,312442.97,7923410112.59,121318527.8,MakerDAO,Lending
2021-04-06,2351500558.94,313709.49,7852803961.7,114442029.4,MakerDAO,Lending
2021-04-07,2308925095.08,316261.08,8152961497.11,136404387.54,MakerDAO,Lending
2021-04-08,2125066570.03,314501.94,7856318218.68,185568991.84,MakerDAO,Lending
2021-04-09,2236466965.25,315743.11,7723621756.33,122891051.98,MakerDAO,Lending
2021-04-10,2241632254.37,317428.69,8027717790.75,111736253.6,MakerDAO,Lending
2021-04-11,2259623640.22,329237.67,8325492579.71,138760960.61,MakerDAO,Lending
2021-04-12,2290028542.6,335417.4,8280712718.3,93261378.64,MakerDAO,Lending
2021-04-13,2683557996.97,336144.49,8369868354.79,319419539.92,MakerDAO,Lending
2021-04-14,2604569475.91,342405.06,8554132668.78,236686953.52,MakerDAO,Lending
2021-04-15,2681954449.79,351104.37,9039284359.93,224752816.0,MakerDAO,Lending
2021-04-16,3800598107.27,359109.92,9252339318.58,1301391614.1,MakerDAO,Lending
2021-04-17,3416723932.52,377352.07,9491933824.82,582767229.18,MakerDAO,Lending
2021-04-18,3360598054.77,385286.7,9779690388.96,293184946.91,MakerDAO,Lending
2021-04-19,3268852780.66,377954.72,8638061472.83,361889617.5,MakerDAO,Lending
2021-04-20,3547603508.11,379327.0,9016240067.84,560176031.34,MakerDAO,Lending
2021-04-21,3463231870.04,380968.3,8744785835.35,338190210.04,MakerDAO,Lending
2021-04-22,4043690701.49,382070.36,9261002104.86,664440654.83,MakerDAO,Lending
2021-04-23,4129558001.66,381669.32,9788096747.41,1506467832.66,MakerDAO,Lending
2021-04-24,4088709112.69,376362.59,8827432335.36,1271776114.0,MakerDAO,Lending
2021-04-25,4019773612.41,378359.4,8868567859.49,464711746.58,MakerDAO,Lending
2021-04-26,3853822864.74,377942.81,9008360651.76,333149609.09,MakerDAO,Lending
2021-04-27,4042125640.15,386117.4,9863060165.62,310004202.28,MakerDAO,Lending
2021-04-28,4535382438.5,388871.63,10109814716.13,410301868.38,MakerDAO,Lending
2021-04-29,4427611620.1,389715.27,10359306923.5,308308567.77,MakerDAO,Lending
2021-04-30,4291848073.5,401949.93,10888628200.68,314806236.35,MakerDAO,Lending
2021-05-01,4373647247.42,400544.88,10892618128.57,233604321.93,MakerDAO,Lending
2021-05-02,4830491899.04,403478.74,11086109834.21,476662914.41,MakerDAO,Lending
2021-05-03,4949200779.1,407265.01,11258737926.82,431884316.69,MakerDAO,Lending
2021-05-04,6100669494.08,419089.34,12191821626.6,1056827717.87,MakerDAO,Lending
2021-05-05,5266125622.48,427002.44,12680051145.41,872014378.71,MakerDAO,Lending
2021-05-06,5445648325.62,442505.09,12815457182.02,542273540.08,MakerDAO,Lending
2021-05-07,5071116340.78,471011.86,13109932394.04,437276823.73,MakerDAO,Lending
2021-05-08,5123325790.5,482259.34,13071961244.57,346840833.44,MakerDAO,Lending
2021-05-09,5649307230.23,489397.19,13373295800.78,631069441.64,MakerDAO,Lending
2021-05-10,5317707081.56,498939.68,14480595203.47,348803167.55,MakerDAO,Lending
2021-05-11,5007422544.29,507896.25,15185284136.56,366265199.66,MakerDAO,Lending
2021-05-12,5414163411.75,512267.1,14859555883.74,374462783.02,MakerDAO,Lending
2021-05-13,5142362790.19,518507.34,13579489351.98,826946909.02,MakerDAO,Lending
2021-05-14,4840450653.41,504128.52,15046278414.8,670225872.32,MakerDAO,Lending
2021-05-15,5057411365.97,513792.99,13612904168.61,352931758.43,MakerDAO,Lending
2021-05-16,4635996575.2,515525.89,12164401135.85,374518960.46,MakerDAO,Lending
2021-05-17,4552936374.53,523190.79,12457436108.29,360318056.65,MakerDAO,Lending
2021-05-18,4290834866.86,531771.89,12876671676.34,422930149.98,MakerDAO,Lending
2021-05-19,4696430691.75,538160.12,9129910542.4,400439318.33,MakerDAO,Lending
2021-05-20,3558189501.59,468817.13,10164140443.82,635796119.61,MakerDAO,Lending
2021-05-21,3927291045.29,445503.95,8455331425.78,462659566.88,MakerDAO,Lending
2021-05-22,3105330289.09,430858.4,8613570794.25,353840088.55,MakerDAO,Lending
2021-05-23,2796812434.22,424172.18,7416866035.99,388126897.98,MakerDAO,Lending
2021-05-24,2775083833.15,349672.21,9142918886.4,616537786.6,MakerDAO,Lending
2021-05-25,4199038148.58,366631.72,9413186052.14,1197380071.93,MakerDAO,Lending
2021-05-26,3882523045.2,369068.69,9799095884.22,613632132.42,MakerDAO,Lending
2021-05-27,3975918561.7,377621.31,9532254373.27,366755940.18,MakerDAO,Lending
2021-05-28,3733911527.44,376557.76,8406735711.81,241343200.82,MakerDAO,Lending
2021-05-29,3275546062.78,370758.86,7783146625.35,239744896.48,MakerDAO,Lending
2021-05-30,3088388509.35,348878.86,8118534257.23,197348894.26,MakerDAO,Lending
2021-05-31,3327552035.09,339908.86,8858885290.43,215789145.29,MakerDAO,Lending
2021-06-01,3607952003.86,337580.62,8615750905.14,204952277.56,MakerDAO,Lending
2021-06-02,3615411022.04,335335.55,8912787315.72,194126550.91,MakerDAO,Lending
2021-06-03,3599124217.48,336743.35,9247671603.74,145113372.87,MakerDAO,Lending
2021-06-04,3684564219.45,336628.59,8836204408.41,153478420.73,MakerDAO,Lending
2021-06-05,3759748993.73,335596.32,8476583606.71,361171991.78,MakerDAO,Lending
2021-06-06,3566805836.77,335867.28,8762067226.92,195867419.26,MakerDAO,Lending
2021-06-07,3630347338.88,336148.85,8481520947.3,102922098.58,MakerDAO,Lending
2021-06-08,3308935964.28,344443.3,8217139288.51,166045596.45,MakerDAO,Lending
2021-06-09,3260522115.78,338594.54,8521322662.26,212381275.13,MakerDAO,Lending
2021-06-10,3346179733.3,339556.82,8124235712.43,151948870.31,MakerDAO,Lending
2021-06-11,3132301211.04,339078.74,7733856133.5,110611551.31,MakerDAO,Lending
2021-06-12,2940285173.34,338148.4,7851938994.21,94834277.0,MakerDAO,Lending
2021-06-13,2963529952.47,330315.68,8230776481.77,109493940.08,MakerDAO,Lending
2021-06-14,3179282712.69,328479.37,8432428637.57,95953217.87,MakerDAO,Lending
2021-06-15,3225685545.02,329514.64,8429657788.92,99868480.3,MakerDAO,Lending
2021-06-16,3187709935.38,342956.09,7748993378.07,88611754.56,MakerDAO,Lending
2021-06-17,2958647927.48,339689.0,7387370463.15,91534867.68,MakerDAO,Lending
2021-06-18,2939376761.55,322124.99,6934084360.0,80836285.69,MakerDAO,Lending
2021-06-19,2708082330.54,317432.55,6839865021.42,105089095.6,MakerDAO,Lending
2021-06-20,2600479876.49,307216.22,7020586237.3,80977800.69,MakerDAO,Lending
2021-06-21,2737428674.4,304307.89,5888609687.54,93118722.63,MakerDAO,Lending
2021-06-22,2133057266.09,186076.15,5690091776.49,140282981.2,MakerDAO,Lending
2021-06-23,2277702673.99,173771.24,5855740766.08,191451792.18,MakerDAO,Lending
2021-06-24,2328906442.53,174021.35,6238342014.1,126715364.28,MakerDAO,Lending
2021-06-25,2254436457.11,171404.52,5737476794.37,145225854.51,MakerDAO,Lending
2021-06-26,2024466095.02,170636.93,5704596666.65,110482271.85,MakerDAO,Lending
2021-06-27,2000520444.38,168868.87,6145151263.83,96599986.44,MakerDAO,Lending
2021-06-28,2140932541.35,169066.3,6546379610.37,80565615.83,MakerDAO,Lending
2021-06-29,2237625517.68,170816.85,6788443986.27,100356894.65,MakerDAO,Lending
2021-06-30,2430516713.04,170827.14,6969633280.25,126103589.68,MakerDAO,Lending
2021-07-01,2646577154.56,179936.95,6597812292.58,125954535.29,MakerDAO,Lending
2021-07-02,2535438347.92,180457.86,6695060104.3,238815223.37,MakerDAO,Lending
2021-07-03,2601230749.73,179510.91,6809459423.84,108556427.85,MakerDAO,Lending
2021-07-04,2654711190.51,180111.25,7182743799.3,88261323.61,MakerDAO,Lending
2021-07-05,2837219922.26,181270.26,6932569960.67,118642833.07,MakerDAO,Lending
2021-07-06,2787995070.47,182169.94,7106318553.17,121252883.63,MakerDAO,Lending
2021-07-07,2760265353.11,184586.4,7155835938.69,225774113.41,MakerDAO,Lending
2021-07-08,2864087698.51,184986.21,6594172727.87,155649381.99,MakerDAO,Lending
2021-07-09,2677147053.55,185593.55,6719792262.16,131969480.45,MakerDAO,Lending
2021-07-10,2736317328.0,185911.96,6580286127.18,110608501.69,MakerDAO,Lending
2021-07-11,2697224604.16,184871.38,6653197687.45,76246934.84,MakerDAO,Lending
2021-07-12,2687690447.88,185496.94,6349520574.32,72450229.19,MakerDAO,Lending
2021-07-13,2628087199.56,185745.58,6088696196.72,85340653.33,MakerDAO,Lending
2021-07-14,2533503276.45,179558.97,6280747619.4,67422351.15,MakerDAO,Lending
2021-07-15,2527864455.49,179713.61,6013671598.11,65583326.0,MakerDAO,Lending
2021-07-16,2579244405.82,179900.46,5943036520.13,101569678.74,MakerDAO,Lending
2021-07-17,2439767214.17,180992.94,6007312577.55,64959746.96,MakerDAO,Lending
2021-07-18,2443623471.48,180970.0,5976014922.21,50442718.22,MakerDAO,Lending
2021-07-19,2495301064.53,103588.84,5745689421.99,50503134.62,MakerDAO,Lending
