Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,362341741.04,33843.04,215756680.41,92170.27,Nexus_Mutual,Derivatives
2021-01-28,332831856.31,2327.61,211231918.09,147909.77,Nexus_Mutual,Derivatives
2021-01-29,352146601.26,29820.58,212125266.31,128737.45,Nexus_Mutual,Derivatives
2021-01-30,367405944.44,109084.96,227759073.47,39460.22,Nexus_Mutual,Derivatives
2021-01-31,365284814.62,236170.39,219809978.07,50385.85,Nexus_Mutual,Derivatives
2021-02-01,349421340.51,61953.46,220375513.91,70500.16,Nexus_Mutual,Derivatives
2021-02-02,360110921.86,36885.27,215086568.35,950849.6,Nexus_Mutual,Derivatives
2021-02-03,408003786.56,640194.95,235178567.33,14452.33,Nexus_Mutual,Derivatives
2021-02-04,433320357.53,131222.6,252518333.09,782956.62,Nexus_Mutual,Derivatives
2021-02-05,427303932.38,324682.78,266464115.0,1240353.24,Nexus_Mutual,Derivatives
2021-02-06,454463595.01,39352.71,268418620.16,636342.17,Nexus_Mutual,Derivatives
2021-02-07,443954003.28,47438.83,276055284.38,157570.84,Nexus_Mutual,Derivatives
2021-02-08,422594068.94,41480.04,266412511.3,139926.81,Nexus_Mutual,Derivatives
2021-02-09,451299046.75,14730.43,266766390.82,913578.55,Nexus_Mutual,Derivatives
2021-02-10,455274905.59,46952.18,281409093.74,1942692.05,Nexus_Mutual,Derivatives
2021-02-11,449151041.72,13328.41,287952102.91,213937.22,Nexus_Mutual,Derivatives
2021-02-12,459800489.02,7487.68,287712473.62,11501.21,Nexus_Mutual,Derivatives
2021-02-13,474580750.37,108816.64,287423455.53,12110.15,Nexus_Mutual,Derivatives
2021-02-14,467629899.99,116717.26,289291085.06,19245.65,Nexus_Mutual,Derivatives
2021-02-15,466908297.16,250679.09,295055665.06,122654.76,Nexus_Mutual,Derivatives
2021-02-16,466591365.79,73828.65,286136692.56,199127.41,Nexus_Mutual,Derivatives
2021-02-17,461308580.01,389513.98,287809381.74,17334.12,Nexus_Mutual,Derivatives
2021-02-18,481222783.21,300489.25,292279828.31,49549.85,Nexus_Mutual,Derivatives
2021-02-19,509001659.8,3557.78,309219074.25,937408.3,Nexus_Mutual,Derivatives
2021-02-20,518020117.93,62475.84,312888692.43,27101.97,Nexus_Mutual,Derivatives
2021-02-21,504168627.02,33955.18,326497510.58,21037.35,Nexus_Mutual,Derivatives
2021-02-22,513499333.98,131133.36,319315296.99,26704.73,Nexus_Mutual,Derivatives
2021-02-23,471160654.31,21086.38,294104753.23,783653.42,Nexus_Mutual,Derivatives
2021-02-24,411713566.27,17259.45,239523332.09,126206.05,Nexus_Mutual,Derivatives
2021-02-25,429129054.06,52342.58,273826313.47,2387.31,Nexus_Mutual,Derivatives
2021-02-26,391712680.92,578.23,262690254.35,62977.41,Nexus_Mutual,Derivatives
2021-02-27,381973063.5,83131.37,237178296.99,13854268.01,Nexus_Mutual,Derivatives
2021-02-28,385902606.38,5032.52,239004014.71,100614.84,Nexus_Mutual,Derivatives
2021-03-01,380695003.89,50719.64,221690029.85,58706.21,Nexus_Mutual,Derivatives
2021-03-02,411683195.53,30337.73,248405813.87,143215.74,Nexus_Mutual,Derivatives
2021-03-03,395288091.41,26146.88,253448688.41,118078.64,Nexus_Mutual,Derivatives
2021-03-04,420545587.02,7079.9,261198266.25,50181.58,Nexus_Mutual,Derivatives
2021-03-05,405309177.81,1721.63,252929732.73,33600.01,Nexus_Mutual,Derivatives
2021-03-06,407411068.72,7531.07,239949032.57,31173.56,Nexus_Mutual,Derivatives
2021-03-07,439259966.63,2788.97,254645976.56,4713.85,Nexus_Mutual,Derivatives
2021-03-08,452846881.36,15819.12,271020380.01,8840.99,Nexus_Mutual,Derivatives
2021-03-09,472378401.82,14712.06,277311030.49,202254.21,Nexus_Mutual,Derivatives
2021-03-10,483137994.87,41850.22,296074758.58,7205.32,Nexus_Mutual,Derivatives
2021-03-11,481404880.56,1373.01,295450021.29,77875.64,Nexus_Mutual,Derivatives
2021-03-12,483893913.01,8320.78,286981424.83,18343.47,Nexus_Mutual,Derivatives
2021-03-13,469101034.35,56712.45,290750875.32,24578.32,Nexus_Mutual,Derivatives
2021-03-14,510376961.34,5673.39,298041851.08,35786.42,Nexus_Mutual,Derivatives
2021-03-15,496037732.9,24459.69,304628429.91,38006.13,Nexus_Mutual,Derivatives
2021-03-16,475989091.85,12017.75,289267919.81,137309.76,Nexus_Mutual,Derivatives
2021-03-17,476050034.37,83381.45,292282466.76,24643.3,Nexus_Mutual,Derivatives
2021-03-18,482055642.81,9500.66,286908364.68,97851.87,Nexus_Mutual,Derivatives
2021-03-19,473149107.13,,294935054.27,11064.92,Nexus_Mutual,Derivatives
2021-03-20,484486705.56,3480.28,294084627.01,29147.72,Nexus_Mutual,Derivatives
2021-03-21,488762936.62,10657.3,297055236.81,14974.32,Nexus_Mutual,Derivatives
2021-03-22,474531404.13,19785.03,286543801.19,23039.2,Nexus_Mutual,Derivatives
2021-03-23,448079922.65,1757.61,292861817.17,201905.3,Nexus_Mutual,Derivatives
2021-03-24,442597812.04,24850.35,274329461.28,16907.85,Nexus_Mutual,Derivatives
2021-03-25,419433316.13,76265.3,278351848.14,71134.57,Nexus_Mutual,Derivatives
2021-03-26,419292108.36,78056.72,261953461.73,76743.89,Nexus_Mutual,Derivatives
2021-03-27,448781207.95,45128.48,262920609.07,82152.44,Nexus_Mutual,Derivatives
2021-03-28,453702617.25,10172.06,272693590.71,118288.32,Nexus_Mutual,Derivatives
2021-03-29,445841766.99,22284.25,277987861.88,73067.49,Nexus_Mutual,Derivatives
2021-03-30,477225338.38,11910.11,286981745.84,169113.31,Nexus_Mutual,Derivatives
2021-03-31,486360256.2,7670.76,300383398.3,282836.39,Nexus_Mutual,Derivatives
2021-04-01,506588315.98,13848.57,292836607.41,832239.99,Nexus_Mutual,Derivatives
2021-04-02,521472097.52,72657.77,315161798.86,129122.98,Nexus_Mutual,Derivatives
2021-04-03,556295786.35,16241.8,324099594.76,325719.28,Nexus_Mutual,Derivatives
2021-04-04,533114085.82,28095.96,341630598.77,82665.56,Nexus_Mutual,Derivatives
2021-04-05,548560686.23,3995.48,333115835.82,39085.94,Nexus_Mutual,Derivatives
2021-04-06,555988883.37,7934.93,331068005.9,141775.21,Nexus_Mutual,Derivatives
2021-04-07,558824623.51,31530.31,345742318.05,77566.17,Nexus_Mutual,Derivatives
2021-04-08,522317430.17,5360.73,332962987.77,76004.04,Nexus_Mutual,Derivatives
2021-04-09,549899204.24,23258.63,325753801.56,6987.52,Nexus_Mutual,Derivatives
2021-04-10,548320680.15,32385.31,340162619.78,10921.88,Nexus_Mutual,Derivatives
2021-04-11,563617782.49,28049.06,352134216.8,68717.64,Nexus_Mutual,Derivatives
2021-04-12,567571263.07,51568.08,347765309.25,41409.33,Nexus_Mutual,Derivatives
2021-04-13,567586888.77,79529.22,353841342.07,146802.08,Nexus_Mutual,Derivatives
2021-04-14,605353260.31,9301.0,359750380.29,134336.36,Nexus_Mutual,Derivatives
2021-04-15,642412067.81,21233.2,386348641.31,4866.74,Nexus_Mutual,Derivatives
2021-04-16,663907117.63,11651.37,397052850.06,35092.67,Nexus_Mutual,Derivatives
2021-04-17,644147347.33,9416.41,388130164.92,54937.49,Nexus_Mutual,Derivatives
2021-04-18,624177412.22,16280.66,396515890.74,41626.37,Nexus_Mutual,Derivatives
2021-04-19,591835260.29,17447.19,346406825.41,131255.91,Nexus_Mutual,Derivatives
2021-04-20,577384298.21,3473.96,359900603.53,122222.67,Nexus_Mutual,Derivatives
2021-04-21,613247777.52,28449.04,350247140.68,48740.51,Nexus_Mutual,Derivatives
2021-04-22,625447295.54,30061.48,373901552.36,3966.8,Nexus_Mutual,Derivatives
2021-04-23,641388689.26,45078.38,403310145.42,76168.25,Nexus_Mutual,Derivatives
2021-04-24,625111939.78,10593.48,363982173.95,155152.61,Nexus_Mutual,Derivatives
2021-04-25,604197192.85,13480.24,361761508.13,58443.6,Nexus_Mutual,Derivatives
2021-04-26,606780402.67,38160.69,368389043.34,30230.41,Nexus_Mutual,Derivatives
2021-04-27,665883542.54,5990.07,405706891.01,130935.85,Nexus_Mutual,Derivatives
2021-04-28,697446301.54,25318.08,411170835.87,23325.44,Nexus_Mutual,Derivatives
2021-04-29,720877263.23,19538.17,425246786.37,66146.3,Nexus_Mutual,Derivatives
2021-04-30,728826480.69,104271.14,448587379.92,34236.24,Nexus_Mutual,Derivatives
2021-05-01,730860039.41,20893.01,449639976.7,117435.03,Nexus_Mutual,Derivatives
2021-05-02,777777099.4,65258.28,459796775.96,22859.38,Nexus_Mutual,Derivatives
2021-05-03,778863000.21,26994.54,468110971.55,73819.83,Nexus_Mutual,Derivatives
2021-05-04,909234552.36,74956.68,514239320.84,208544.68,Nexus_Mutual,Derivatives
2021-05-05,860144026.1,27212.04,544174735.91,56489.48,Nexus_Mutual,Derivatives
2021-05-06,929633266.71,48968.24,547430471.95,54300.88,Nexus_Mutual,Derivatives
2021-05-07,926684675.62,5243.85,560559054.48,7717.16,Nexus_Mutual,Derivatives
