Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,2017949847.53,1093168.64,2043322707.78,1130498670.42,Sushiswap,DEX
2021-01-28,1773443058.77,920312.12,1901875455.0,819772869.16,Sushiswap,DEX
2021-01-29,2063163779.64,1853606.02,2090247648.01,925582169.12,Sushiswap,DEX
2021-01-30,2245316881.67,1106176.64,2131414607.94,891663986.58,Sushiswap,DEX
2021-01-31,2567912149.28,1169047.24,2229826921.63,1012837002.9,Sushiswap,DEX
2021-02-01,2547423794.02,1203104.79,2158688386.54,1339410927.7,Sushiswap,DEX
2021-02-02,3237840328.7,1425274.06,2320898834.89,1371135698.0,Sushiswap,DEX
2021-02-03,3167314212.61,1193631.56,2600987964.82,1133464558.46,Sushiswap,DEX
2021-02-04,3560000482.89,2066729.46,2885105479.09,1099970628.42,Sushiswap,DEX
2021-02-05,3840055676.34,1508789.66,2945731367.55,1199349660.2,Sushiswap,DEX
2021-02-06,3754987168.04,1563562.34,3082951702.42,781170360.29,Sushiswap,DEX
2021-02-07,3457457448.09,1185420.35,3219550563.44,994802403.01,Sushiswap,DEX
2021-02-08,3273716892.67,1567516.45,2930936871.51,836566330.34,Sushiswap,DEX
2021-02-09,3543321060.05,1322642.37,3180442391.55,866864880.01,Sushiswap,DEX
2021-02-10,3581212714.22,1604874.07,3405816694.57,747602219.16,Sushiswap,DEX
2021-02-11,3722580450.1,1080975.29,3389034656.98,973964242.64,Sushiswap,DEX
2021-02-12,4219955541.88,1210193.98,3507244464.11,970041537.54,Sushiswap,DEX
2021-02-13,4143537226.93,1277323.15,3692730365.28,773963517.09,Sushiswap,DEX
2021-02-14,3988778935.15,943854.68,3520358840.36,566022948.85,Sushiswap,DEX
2021-02-15,3746401767.3,1738375.05,3513364429.08,517919896.42,Sushiswap,DEX
2021-02-16,4297280222.28,1006560.57,3520651148.5,1238733918.93,Sushiswap,DEX
2021-02-17,4106645481.03,1314185.06,3532442056.33,715620761.59,Sushiswap,DEX
2021-02-18,4047237263.45,1017541.66,3630267495.89,810828288.87,Sushiswap,DEX
2021-02-19,3949801132.67,1373902.3,3670818821.46,575710081.48,Sushiswap,DEX
2021-02-20,3633138141.13,1933143.03,3687204999.55,804727726.95,Sushiswap,DEX
2021-02-21,4612013886.87,982231.42,3678128025.31,2220612287.12,Sushiswap,DEX
2021-02-22,4352414636.33,2491760.26,3710296943.11,891298191.72,Sushiswap,DEX
2021-02-23,4164787603.11,3810796.79,3532067234.36,1309425168.88,Sushiswap,DEX
2021-02-24,3667239124.3,1561392.26,3028668813.08,1365106622.13,Sushiswap,DEX
2021-02-25,3677277661.82,1153608.55,3037081953.93,823577595.59,Sushiswap,DEX
2021-02-26,3575856913.12,1575656.36,3004179306.9,1082174775.71,Sushiswap,DEX
2021-02-27,3835267721.11,1105281.4,2806921281.52,1323826168.54,Sushiswap,DEX
2021-02-28,4115969878.52,1669070.68,3026213318.95,1147119519.68,Sushiswap,DEX
2021-03-01,3761598955.63,1236843.44,2931598684.87,1103413123.45,Sushiswap,DEX
2021-03-02,4699510013.29,1505687.35,3176070017.78,1239326828.51,Sushiswap,DEX
2021-03-03,4481456318.61,1041040.89,3061566818.46,2171436164.25,Sushiswap,DEX
2021-03-04,4379416034.5,1148452.34,3312346054.02,1067937663.38,Sushiswap,DEX
2021-03-05,4352207005.35,1061497.59,3343167387.69,1085061574.6,Sushiswap,DEX
2021-03-06,4172657799.55,864280.75,3447581902.11,870113971.68,Sushiswap,DEX
2021-03-07,4159399013.56,868865.2,3696252297.22,611318710.12,Sushiswap,DEX
2021-03-08,4469274207.72,989711.22,3058270688.18,782139665.19,Sushiswap,DEX
2021-03-09,4320972376.95,1240651.07,3339629995.86,705088986.99,Sushiswap,DEX
2021-03-10,4934197432.52,853979.98,3443596384.08,1078113906.5,Sushiswap,DEX
2021-03-11,4486831152.09,909564.26,3684960081.8,738377016.03,Sushiswap,DEX
2021-03-12,4651928666.29,843319.01,3686903215.81,890605894.97,Sushiswap,DEX
2021-03-13,4862097441.06,1256851.43,4440932231.52,1005592059.74,Sushiswap,DEX
2021-03-14,5763492792.34,854837.78,4918973367.97,1743939088.65,Sushiswap,DEX
2021-03-15,5225361917.95,910016.33,4901478211.95,973452506.42,Sushiswap,DEX
2021-03-16,4933738688.46,780592.27,4622072578.73,881894301.22,Sushiswap,DEX
2021-03-17,5053682047.82,789966.46,4719022235.69,789471120.19,Sushiswap,DEX
2021-03-18,5010242944.23,673177.9,4849622933.1,613789106.92,Sushiswap,DEX
2021-03-19,4944819203.13,712376.58,4751938725.12,590829993.79,Sushiswap,DEX
2021-03-20,5080829106.32,525479.88,4635825868.22,627839352.95,Sushiswap,DEX
2021-03-21,4901042039.45,873074.99,5095417553.24,508445767.35,Sushiswap,DEX
2021-03-22,4720824610.84,1055126.39,4778318519.0,607107751.62,Sushiswap,DEX
