Date,FDV,Revenue,TVL,Volume,Protocol,Type
2021-01-27,3866343438.96,165446.84,1808091539.32,289039324.28,Synthetix,Derivatives
2021-01-28,3531157896.0,98763.99,1758571259.84,308972325.74,Synthetix,Derivatives
2021-01-29,3915709185.11,194738.18,1757661778.22,303443239.71,Synthetix,Derivatives
2021-01-30,3918086856.53,87275.12,1825419505.73,278058860.79,Synthetix,Derivatives
2021-01-31,4078790780.87,73940.0,1844267696.98,240399059.04,Synthetix,Derivatives
2021-02-01,3996274275.84,67702.96,2052810957.7,308158384.19,Synthetix,Derivatives
2021-02-02,4035250459.72,65332.33,1956382537.02,236177821.63,Synthetix,Derivatives
2021-02-03,3934331490.1,152028.2,1920229229.34,271772443.14,Synthetix,Derivatives
2021-02-04,3963734841.79,58209.59,1874876088.47,218429434.38,Synthetix,Derivatives
2021-02-05,4487489585.1,144778.95,1935880944.81,489201187.49,Synthetix,Derivatives
2021-02-06,5404972911.38,71710.09,2080835996.87,596334303.72,Synthetix,Derivatives
2021-02-07,4820425891.4,80926.79,2083252469.74,459037439.09,Synthetix,Derivatives
2021-02-08,4618595530.0,53160.59,2098832700.86,343149346.55,Synthetix,Derivatives
2021-02-09,4928143604.84,95477.77,2251789465.8,406419948.22,Synthetix,Derivatives
2021-02-10,5701453903.22,150819.64,2420215822.48,599585639.25,Synthetix,Derivatives
2021-02-11,5768286951.86,108571.35,2966823065.84,619268176.28,Synthetix,Derivatives
2021-02-12,6031270400.38,61526.43,2915310156.24,421447566.44,Synthetix,Derivatives
2021-02-13,6238384276.83,73225.69,2909881535.36,408419549.05,Synthetix,Derivatives
2021-02-14,6091393181.47,66325.45,2873781960.54,375510864.56,Synthetix,Derivatives
2021-02-15,5802485421.61,103056.64,2890701633.29,385703901.08,Synthetix,Derivatives
2021-02-16,5647014726.72,76579.68,2756989879.9,414382390.5,Synthetix,Derivatives
2021-02-17,5551745269.12,58550.2,2848053346.3,364156461.94,Synthetix,Derivatives
2021-02-18,5591225945.36,84065.92,2690200396.35,332011530.55,Synthetix,Derivatives
2021-02-19,5343823838.56,98389.71,2706131868.99,239341580.59,Synthetix,Derivatives
2021-02-20,5143503733.87,150289.59,2548993294.56,301350826.12,Synthetix,Derivatives
2021-02-21,5375729959.55,74525.28,2845851546.27,507209263.11,Synthetix,Derivatives
2021-02-22,5281785652.97,132759.25,2663846335.48,269222003.64,Synthetix,Derivatives
2021-02-23,4864873193.93,171595.43,2360975323.05,406281022.63,Synthetix,Derivatives
2021-02-24,4172907276.56,83188.14,1872509540.8,543864442.35,Synthetix,Derivatives
2021-02-25,4431903038.39,75779.61,2299227630.86,336077211.97,Synthetix,Derivatives
