Date,FDV,Volume,TVL,Revenue,Protocol,Type
2021-01-27,13796717917.36,1870143777.97,3428545532.14,2366886.79,Uniswap,DEX
2021-01-28,14826944209.19,1988424279.45,3263497441.15,2063361.85,Uniswap,DEX
2021-01-29,14161866549.89,1550504012.75,3418304658.51,3075562.03,Uniswap,DEX
2021-01-30,15645275352.35,1616973238.72,3452629790.11,2197833.69,Uniswap,DEX
2021-01-31,19390026684.59,2031907840.77,3471715935.12,2193869.94,Uniswap,DEX
2021-02-01,17638787124.82,1777734968.62,3346002485.3,2448693.88,Uniswap,DEX
2021-02-02,20358868956.87,1894362308.13,3494597013.52,2767998.09,Uniswap,DEX
2021-02-03,19072254090.51,1417633194.84,3718282620.06,2622456.91,Uniswap,DEX
2021-02-04,19826955201.43,1207216842.85,3898455745.41,3872439.82,Uniswap,DEX
2021-02-05,20046299963.87,1359131427.9,3904413989.16,3352636.52,Uniswap,DEX
2021-02-06,21241968053.99,1315724521.52,4014765861.22,2914868.66,Uniswap,DEX
2021-02-07,19323168844.35,1124689339.63,3992546385.81,2786626.23,Uniswap,DEX
2021-02-08,18582838493.44,1135550184.05,3830459651.61,3200412.16,Uniswap,DEX
2021-02-09,19358305970.96,1141451176.5,4088678378.29,3170185.84,Uniswap,DEX
2021-02-10,19513946965.9,893395008.24,4225834133.83,3178168.89,Uniswap,DEX
2021-02-11,20606184816.55,1565478791.23,4202234993.53,2767103.5,Uniswap,DEX
2021-02-12,21473246483.52,1010745029.01,4356635074.71,3102232.66,Uniswap,DEX
2021-02-13,22702255672.59,1369634694.92,4484748020.91,3080661.06,Uniswap,DEX
2021-02-14,21772030093.74,1039214054.57,4441907445.29,2967340.83,Uniswap,DEX
2021-02-15,20951094824.04,836712393.24,4428713168.04,3470088.59,Uniswap,DEX
2021-02-16,19986754437.79,1335067502.94,4407271463.8,2909732.6,Uniswap,DEX
2021-02-17,20433062816.52,950433946.55,4405966321.77,3280295.21,Uniswap,DEX
